5CD,5AB
2.517,1.8110
2.229,2.0640
2.469,2.7370
2.276,2.5740
2.361,3.3820
2.424,3.6890
2.224,4.5120
2.091,2.4600
2.013,2.3630
2.548,2.6250
2.61,2.2830
2.316,2.8680
2.637,2.5180
2.582,2.5890
2.687,1.9330
2.294,2.3780
1.773,2.0700
2.241,2.1720
2.008,2.2050
2.324,1.8940
2.163,2.0450
1.703,1.8990
2.389,2.3160
1.918,2.1380
2.059,2.0890
2.085,1.6300
2.43,2.1930
2.625,2.3140
2.24,2.5130
2.719,2.7120
2.222,1.6610
1.556,1.4940
2.329,1.7050
2.732,1.9160
2.191,2.1040
2.228,1.7610
2.667,1.6720
2.844,1.5830
3.172,2.7740
3.004,2.3440
2.892,2.1290
2.802,1.9140
2.498,2.1430
1.826,2.5160
2.645,4.3080
3.602,3.2670
1.278,2.2260
1.618,1.5180
2.343,2.043
3.129,3.262
2.703,4.053
2.649,2.7815
2.181,2.14575
2.448,1.51
2.44,
3.208,
2.945,
